,food_type,additives_n,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,nutrition-score-fr_100g,nutrition-score-uk_100g,calories_100g
66,panna_cotta,1.75,17.525,10.129999999999999,20.0375,24.04,0.825,2.4699999999999998,0.096,0.037795275590551174,13.7,13.7,261.2093690248566
68,baby_back_ribs,2.5,14.29,5.71,10.71,7.14,0.0,14.29,1.08966,0.429,12.0,12.0,228.96749521988528
70,falafel,0.7037037037037037,11.983214285714286,1.5382758620689656,26.583571428571428,4.0503448275862075,8.676923076923076,11.511724137931036,1.6925041344827585,0.6663402104262832,2.92,2.92,272.0214940330982
72,french_onion_soup,1.0,3.6849999999999996,2.11,6.140000000000001,1.05,0.7,4.5600000000000005,0.73533,0.2895,2.5,2.5,73.49426386233269
73,samosa,0.0,10.6,1.3,21.5,1.0,2.3,4.4,1.1,0.433070866141732,2.0,2.0,203.39388145315488
76,caesar_salad,1.0,13.41,3.045,7.16,1.575,1.2,7.890000000000001,0.83312,0.328,2.0,2.0,178.05927342256214
78,gyoza,0.0,8.6,1.4,19.0,2.45,2.35,6.949999999999999,1.125,0.442913385826772,0.0,0.0,164.91395793499044
79,seaweed_salad,3.5,3.9299999999999997,0.4375,14.976666666666667,15.875,13.75,0.25,3.46075,1.3624999999999998,9.25,9.25,89.20889101338432
80,pizza,2.588235294117647,11.216274509803924,4.7284905660377365,26.520588235294113,2.2754716981132077,1.3018867924528306,10.460000000000003,1.3344324528301885,0.5253671074134602,9.092592592592593,9.092592592592593,247.8218911216133
81,red_velvet_cake,5.6923076923076925,20.37642857142857,8.563571428571429,49.83571428571429,35.13857142857143,3.5,5.862142857142857,0.6843985714285713,0.2694482564679415,20.357142857142858,20.357142857142858,400.1809614859328
83,chocolate_cake,1.8333333333333333,17.626666666666665,6.976666666666667,57.69833333333332,44.501666666666665,1.9166666666666667,3.478333333333333,0.9948333333333333,0.3916666666666668,22.0,22.0,398.66156787762907
84,bread_pudding,3.0,12.39,7.96,43.36,31.86,0.9,4.42,0.45974,0.18100000000000002,18.0,18.0,306.8833652007648
85,dumplings,0.0,2.16,0.44,20.075,0.66,0.95,5.485,0.46481999999999996,0.18300000000000002,-1.0,-1.0,119.50286806883365
88,pork_chop,1.0,11.85,4.869999999999999,14.354999999999999,5.413333333333334,0.1,15.505,4.518660000000001,1.779,8.6,8.6,227.0952836201402
89,creme_brulee,2.3333333333333335,21.22,13.756,44.269999999999996,34.05,0.75,4.602,0.153612,0.060496850393700806,17.4,17.4,377.868068833652
90,bruschetta,0.625,21.681,3.2199999999999998,14.5,4.108888888888889,3.057142857142857,3.2920000000000003,1.601098,0.6303535433070866,6.0,6.0,251.21892925430208
92,risotto,0.6923076923076923,1.4626666666666668,0.48142857142857143,70.25466666666668,2.2257142857142855,1.481818181818182,6.804666666666667,1.2787716666666664,0.5034538057742782,4.75,4.75,317.7581261950287
93,hamburger,1.0,11.085,4.216666666666667,22.209999999999997,8.235555555555557,1.7,13.281111111111112,1.1885666666666665,0.4678075240594926,9.777777777777779,9.777777777777779,249.70788187805397
94,croque_madame,1.0,11.0,5.7,20.0,2.4,2.1,14.0,1.01,0.397637795275591,9.0,9.0,238.04971319311662
95,edamame,0.0,6.88875,0.9612499999999999,10.90375,2.87125,6.200000000000001,13.39375,0.40027,0.1575866141732283,-4.625,-4.625,166.1687380497132
96,macaroni_and_cheese,3.0,8.092857142857143,4.712142857142857,27.860000000000003,2.1785714285714284,0.9885714285714287,7.238571428571428,0.9007914285714287,0.354763779527559,5.428571428571429,5.428571428571429,215.5831739961759
97,spaghetti_bolognese,1.1428571428571428,3.713043478260869,0.8660869565217392,13.426086956521734,2.560869565217391,2.1061111111111113,4.661304347826088,0.6834921739130435,0.2690989387196165,0.4782608695652174,0.4782608695652174,103.97788677363039
98,spring_rolls,1.3333333333333333,6.126666666666666,1.42,22.906666666666666,4.486666666666666,0.45,6.07,1.29658,0.510464566929134,7.0,7.0,172.4028043339707
99,greek_salad,0.6666666666666666,4.93,1.03,6.640000000000001,3.41,1.633333333333333,1.863333333333333,0.8263466666666668,0.3253333333333333,2.0,2.0,76.32249840662841
100,chocolate_mousse,2.3333333333333335,11.703333333333333,8.950000000000001,19.716666666666665,17.166666666666668,1.6000000000000003,3.6966666666666668,0.14003866666666667,0.05513333333333333,7.333333333333333,7.333333333333333,192.1606118546845
